epoch,train_loss_total,eval_loss,eval_top1,eval_top5
0,4.432757193239336,3.9065329345703126,29.5,84.23
1,4.108561606169053,3.406171270751953,38.27,89.02
2,3.850150614786087,2.867463296508789,53.41,93.38
3,3.6878611830834696,2.730248013305664,53.76,93.91
4,3.5492459949244304,2.5175665603637696,60.29,94.97
5,3.4565183456972832,2.255784518432617,64.93,95.98
6,3.318769791977964,2.0115120574951173,70.88,98.03
7,3.2407780954382943,2.050414862060547,70.7,97.53
8,3.1898190874448966,1.8133745239257812,76.17,98.49
9,3.1545620938421974,1.7994747863769531,74.11,98.06
10,3.104656946949098,1.6264122985839844,77.97,98.78
11,3.042384804897821,1.6012656524658204,78.91,98.34
12,3.011474380114625,1.5148316864013671,79.61,98.56
13,2.9464723859340065,1.3615397506713867,81.53,99.16
14,2.9566267382320155,1.5332171325683595,80.55,98.74
15,2.9294958719065494,1.3968160614013672,82.65,99.03
16,2.869737879720143,1.493788296508789,81.5,98.81
17,2.882266279066723,1.3146391967773436,84.03,99.23
18,2.889782682576344,1.3320132904052735,82.73,99.13
19,2.824632897114479,1.2592677062988282,83.62,98.8
20,2.8313784648147955,1.2147459014892579,85.09,99.17
21,2.7946723267607743,1.2380608947753906,83.63,98.98
22,2.7759242521815963,1.1365074798583985,85.78,99.27
23,2.8061744576074403,1.4303349304199218,83.81,98.89
24,2.7136143072008627,1.1991942626953125,85.63,99.16
25,2.710705727987497,1.0166252380371095,86.38,99.23
26,2.7230842446242955,1.1231757690429687,86.16,99.4
27,2.679220976353302,1.0367352035522461,85.46,99.05
28,2.696964065488261,1.20849091796875,87.72,99.41
29,2.7108433576307895,1.231186163330078,86.56,99.39
30,2.6888315738697517,1.2347670654296874,85.22,99.35
31,2.636414058687745,0.965485055732727,88.24,99.55
32,2.6609692079004343,1.044329988861084,88.97,99.47
33,2.6513997177461044,0.9852323749542237,88.57,99.52
34,2.65368831920868,1.0437182640075684,89.18,99.6
35,2.6128490554233212,0.9983939430236817,87.99,99.24
36,2.6163554937982987,0.9233378613471985,89.14,99.56
37,2.6241068517963346,1.0907457721710205,88.58,99.56
38,2.577530095427656,1.100790431213379,89.6,99.47
39,2.605746022717748,1.0620012393951417,89.23,99.43
40,2.596123312407969,0.8351084684371948,90.11,99.65
41,2.606772961903473,0.9082206757545471,89.69,99.59
42,2.5733197048287386,0.9209436550140381,90.37,99.6
43,2.5919669932195686,1.0107638708114624,90.12,99.6
44,2.618523176592535,0.9842789523124695,90.57,99.57
45,2.5830351186012335,0.9004236824989319,89.04,99.46
46,2.589251885798768,1.0481715087890624,89.73,99.56
47,2.539372094309437,0.840660004901886,90.88,99.7
48,2.531543685898433,0.9556220520019532,90.75,99.57
49,2.5202098359829637,0.9767723106384277,89.89,99.72
50,2.542943901960737,1.0374377808570863,89.75,99.6
51,2.564191344147608,1.1034351375579834,90.15,99.55
52,2.531071920401003,0.90224870595932,90.94,99.62
53,2.5150001337525176,0.9691810897827149,89.44,99.42
54,2.553719976036863,0.910881086063385,91.09,99.67
55,2.488672743533546,0.912759226512909,90.75,99.72
56,2.570045141343423,0.866100613117218,90.75,99.58
57,2.5355443934624997,0.8584846600532532,90.45,99.61
58,2.535028012094974,0.9257621952056885,91.0,99.48
59,2.554092249552816,0.9824622774124145,89.86,99.48
60,2.5021776113558976,0.8602221819877625,91.49,99.79
61,2.4720281681544343,0.9180516939163208,91.32,99.64
62,2.5648727957326227,1.0048653109550476,90.72,99.64
63,2.5257410238402755,0.9679839685440064,91.22,99.69
64,2.508806543527278,1.106607860183716,91.77,99.64
65,2.5181910724554415,0.8857696120262146,91.37,99.68
66,2.4854999649387315,0.835411359500885,91.75,99.66
67,2.483802873560164,0.8440818021774292,91.3,99.7
68,2.4811949004894944,0.9066570476531982,91.64,99.58
69,2.528203414435881,0.959435356426239,91.94,99.67
70,2.4917342131635443,0.8584081331253052,92.01,99.68
71,2.438775718288446,0.8633485801696777,92.08,99.69
72,2.4486417619275374,0.7909276103019715,92.59,99.77
73,2.482418791432692,0.9764878409385681,91.83,99.68
74,2.4817510782222283,0.9308363861083985,91.65,99.72
75,2.450268120374936,0.8715744865417481,91.7,99.65
76,2.466456394342088,0.917771533203125,91.8,99.72
77,2.4847140287772946,0.8620222520828247,91.68,99.69
78,2.4178770441709805,0.9830107203483581,91.88,99.64
79,2.5044881537384933,0.7834202983856201,92.13,99.67
80,2.5160788488449115,0.8493272569656372,92.28,99.74
81,2.4664477343443263,0.9521843879699707,92.36,99.52
82,2.478371302388542,0.9006447276115418,92.56,99.76
83,2.463649812489557,0.844912969493866,92.53,99.8
84,2.4388505072355575,0.83488798828125,91.94,99.76
85,2.474047118204046,0.8200838610649109,92.45,99.61
86,2.4254451059043483,0.8295964736938477,91.75,99.68
87,2.4403349819012394,0.9204458877563476,92.84,99.7
88,2.4235342647904163,0.8495993944644928,92.24,99.7
89,2.4399329263635847,0.7769013754844666,92.53,99.56
90,2.427318120582766,0.878246434211731,92.22,99.68
91,2.440541811850251,0.861926022529602,92.1,99.7
92,2.4380817949085016,0.7482169401168823,92.63,99.78
93,2.4651606633934873,0.8638024877548218,92.13,99.64
94,2.435654513814538,0.7497297904968262,92.71,99.78
95,2.424752894192743,0.9294641819000244,92.33,99.78
96,2.454993820220957,0.7606905153274536,93.0,99.78
97,2.470133823560844,0.8080087787628174,92.57,99.74
98,2.3895006613297896,0.7861302479743958,92.39,99.68
99,2.4461678854176694,0.8372251224517823,92.4,99.65
100,2.4552762019954786,0.9005102890014648,92.87,99.68
101,2.464235726300336,0.848097264289856,92.83,99.76
102,2.394114902474358,0.8626367848396301,92.46,99.77
103,2.447045044618135,0.920865292263031,92.79,99.78
104,2.469952532942866,0.8157036787986756,93.22,99.78
105,2.4526269974690242,0.7001716323852539,93.14,99.82
106,2.452741115255026,0.916175150680542,92.65,99.77
107,2.420114924751995,0.8597372205734253,92.9,99.68
108,2.4010280488242564,0.769318160533905,93.37,99.65
109,2.424073733837748,0.7860897222518921,92.73,99.75
110,2.451500740460336,0.8521639631271363,93.23,99.7
111,2.458460054995919,0.7574139959335328,93.27,99.72
112,2.393890809463325,0.8605558727264404,92.7,99.63
113,2.3876599404631746,0.690099148273468,93.14,99.69
114,2.446847792013659,0.8531781060218812,92.77,99.73
115,2.4114929285000595,0.734253640460968,93.27,99.75
116,2.4168835942479623,0.8345727167129516,92.54,99.69
117,2.399677651487148,0.8393216856002808,93.45,99.76
118,2.4222257970695154,0.8446776535987854,92.64,99.77
119,2.377906929515541,0.7335962966918945,93.24,99.79
120,2.3858565163826055,0.7802259393692017,93.07,99.73
121,2.4916299210620445,0.7455924579620361,93.59,99.71
122,2.4144931492823796,0.8652114714622497,92.75,99.75
123,2.413969394644763,0.8292509556770324,93.62,99.64
124,2.4063427472694583,0.7773278239250183,92.99,99.66
125,2.404921432768642,0.7815947127342224,93.18,99.65
126,2.3974437933419943,0.8170067262649536,92.91,99.72
127,2.4314443135536283,0.7687653558731079,93.36,99.74
128,2.387771020625526,0.7355388597488404,93.13,99.7
129,2.3954134529287163,0.8399917613983154,93.3,99.66
130,2.4014006279189517,0.8293091883659363,92.98,99.77
131,2.4125390590076714,0.7222281149864197,93.29,99.76
132,2.435260760188866,0.8730462905883789,93.23,99.68
133,2.414263370095081,0.9460807970046997,93.54,99.8
134,2.4080232096389986,0.7799731578826904,93.04,99.63
135,2.378131556907781,0.8753352815628052,93.33,99.8
136,2.401947324773566,0.9475484174728394,93.2,99.76
137,2.335874085237061,0.7264800796508789,93.75,99.84
138,2.3774288482153154,0.8724523524284363,92.83,99.57
139,2.376959540169309,0.9690942114830017,93.04,99.75
140,2.3889834560291714,0.786079390335083,93.7,99.83
141,2.3791377471137443,0.7476647006988525,93.69,99.73
142,2.393125244505732,0.7369566268920898,93.93,99.71
143,2.3683232090384645,0.80263262424469,93.13,99.75
144,2.3835574495349743,0.7632973136901855,93.75,99.77
145,2.3691653069704963,0.8380318483352661,93.63,99.71
146,2.4447628436717426,0.8713481777191162,93.51,99.71
147,2.3640228876231117,0.8557658674240113,93.18,99.67
148,2.4050196810660074,0.7764717928886413,93.8,99.73
149,2.405040751193458,0.9457617803573608,94.04,99.65
150,2.3614176461394405,0.7566145538330078,93.43,99.71
151,2.4006158498124184,0.7095296772003173,93.86,99.69
152,2.3341148003420664,0.7805632360458374,93.75,99.8
153,2.345339305727491,0.7210356562614441,93.68,99.75
154,2.3409361874400885,0.7319979269981385,93.74,99.71
155,2.389216260934456,0.7500257301330566,94.02,99.7
156,2.3944341223615386,0.8129625133514404,93.76,99.77
157,2.3530566776302497,0.7833406967163086,93.42,99.77
158,2.4019757797714996,0.749316240978241,93.97,99.72
159,2.417966922022469,0.7998593887329102,93.41,99.63
160,2.317430349379282,0.8367774022102356,93.75,99.69
161,2.363994340279954,0.7896066157341003,93.56,99.73
162,2.357538262036332,0.8571442778587341,93.18,99.73
163,2.415018616656793,0.735726014995575,93.63,99.72
164,2.393234938879172,0.6745812480926514,93.57,99.75
165,2.380762585604542,0.6855160687446594,93.74,99.73
166,2.3644566274940892,0.9118846785545349,93.6,99.86
167,2.3706862265566095,0.8446089498519898,93.69,99.79
168,2.3834882991414674,0.8995091415405273,93.76,99.76
169,2.372242570991858,0.9278371952056885,94.06,99.77
170,2.41067186650485,0.8114249194145202,94.25,99.81
171,2.393568997193848,0.816358537864685,94.25,99.7
172,2.3555087971473627,0.8589059645652771,93.47,99.72
173,2.358629514404815,0.6555454958915711,94.18,99.79
174,2.3638673001153827,0.977091341972351,93.2,99.73
175,2.3325943698040503,0.9790896962165833,94.39,99.65
176,2.299442376431063,0.7482094003677369,93.36,99.81
177,2.3621230971034755,0.8345621915817261,94.17,99.79
178,2.345630146477195,0.7407812210083008,94.2,99.8
179,2.3668106336447097,0.7119828457832337,94.05,99.72
180,2.324763668026112,0.784091211605072,94.08,99.7
181,2.353175875777319,0.8235728363037109,94.15,99.77
182,2.344222392529135,0.7481531613349914,94.42,99.83
183,2.3798351104677717,0.7366497352600098,94.18,99.76
184,2.3183344445369003,0.6990653210639953,94.24,99.74
185,2.3599404446141516,0.6092078451156616,94.38,99.76
186,2.340961539638485,0.7173752848625183,94.58,99.76
187,2.3738189051917513,0.7506816156387329,94.15,99.76
188,2.324673007148176,0.8186302700042725,94.11,99.67
189,2.3367361251584393,0.8518730751037598,94.08,99.8
190,2.3410507268087506,0.9143191389083862,94.09,99.69
191,2.369932668920363,0.9006489444732666,94.0,99.7
192,2.3368249833965424,0.8191855785369873,94.05,99.69
193,2.324476303425397,0.8316829278945923,93.99,99.81
194,2.33507132316521,0.7527849413871766,94.44,99.81
195,2.351893355843352,0.8874683017730713,94.27,99.79
196,2.3233657293832564,0.8319743111610413,94.32,99.81
197,2.343837281348,0.761972148323059,94.3,99.77
198,2.342751330969123,0.8122883562088012,94.43,99.82
199,2.3600303030807748,0.7436484558105468,94.32,99.78
200,2.281397300401509,0.7084470691680909,93.87,99.65
201,2.3325905138948664,0.7978608430862427,94.42,99.76
202,2.370747972847405,0.8407043912887573,94.66,99.73
203,2.325252585923931,0.7117277178764343,94.29,99.72
204,2.305005310592212,0.901640458869934,93.82,99.66
205,2.3525601541492303,0.8217711500167847,94.75,99.77
206,2.327547881728403,0.8943820160865784,94.2,99.75
207,2.329363944130579,0.764303662109375,94.35,99.87
208,2.3094661908937324,0.84386461353302,94.07,99.76
209,2.299622623929599,0.6772080578804016,94.34,99.77
210,2.290282094219125,0.7495315439224243,94.31,99.65
211,2.2794881958357047,0.6821436275959015,94.55,99.82
212,2.324697608984387,0.8805012168884278,94.76,99.8
213,2.3126801676695234,0.7052901646614075,94.53,99.74
214,2.278575574237467,0.9862893449783325,94.43,99.72
215,2.324140391642855,0.8052134370803833,94.85,99.82
216,2.2217321350083004,0.7388260377883911,94.48,99.75
217,2.3130026596303788,0.8038646728515625,94.66,99.78
218,2.290886248119662,0.8445579971313476,94.46,99.82
219,2.2657651067848548,0.7739473139762878,94.26,99.7
220,2.360494713777159,0.9295670164108276,94.56,99.74
221,2.287764504532808,0.6358787552833557,94.85,99.8
222,2.2937454908666477,0.8030065507888794,95.0,99.74
223,2.3191687567743844,0.7860589345932006,94.6,99.77
224,2.2947793586916565,0.6228526247024536,94.74,99.81
225,2.309208631973413,0.8014821265220642,94.14,99.7
226,2.2791442051434485,0.8088426190376282,94.86,99.78
227,2.2728019178905803,0.6679779224395752,94.78,99.8
228,2.262244036499883,0.8049994110107422,94.79,99.72
229,2.242581048481901,0.8584228448867798,94.81,99.76
230,2.2719664675936047,0.811330655670166,94.64,99.77
231,2.2737126393141116,0.6585791399002076,94.89,99.74
232,2.284768218114953,0.7058322770118713,94.91,99.79
233,2.247365326490659,0.8550287401199341,95.11,99.77
234,2.2637525317610914,0.7859101442337036,95.13,99.74
235,2.318180215648744,0.8407133414268494,95.11,99.76
236,2.2812784997204965,0.7124483603477478,94.73,99.75
237,2.247302023152536,0.771989655303955,94.77,99.79
238,2.2615971226393032,0.672739740562439,94.87,99.77
239,2.261309888542996,0.7258244213104248,95.06,99.87
240,2.269024853669727,0.7161147941589355,94.97,99.75
241,2.2243848727698823,0.8004155163764953,95.0,99.81
242,2.2838104184855266,0.880892712020874,94.99,99.7
243,2.2181539608788094,0.7369608176231385,95.12,99.82
244,2.2691913263135315,0.8754584342002869,95.1,99.78
245,2.2870754324061924,0.7122709838867187,95.07,99.79
246,2.2735022483500873,0.8543816668510437,94.94,99.78
247,2.2996666425321535,0.7019756567001343,95.07,99.76
248,2.297245220246602,0.7229757048606873,94.91,99.69
249,2.2522214377888035,0.7492102469444275,95.12,99.76
250,2.260363233837367,0.7524514650344849,95.11,99.75
251,2.2056801209223864,0.7310077991485596,94.7,99.77
252,2.275921812588671,0.7849442851066589,94.95,99.84
253,2.2471123929213013,0.8128630842208863,94.99,99.78
254,2.2662421138277433,0.7629001505851746,95.09,99.81
255,2.2343180768773743,0.6262585271835327,95.23,99.8
256,2.23755128435533,0.7697163751602173,94.94,99.78
257,2.2487675291933265,0.745714997291565,95.31,99.73
258,2.2667871348836512,0.8622412022590638,95.27,99.76
259,2.226473918034386,0.7198634023666381,95.22,99.79
260,2.175882359015041,0.7522089947700501,95.3,99.82
261,2.223689172240439,0.6913462056159974,95.32,99.83
262,2.178893095247266,0.760442408657074,94.85,99.71
263,2.263006612372307,0.7100996327400207,95.22,99.74
264,2.228234938714324,0.8130182074546815,95.38,99.74
265,2.2273523928108654,0.8717152667999267,95.19,99.82
266,2.2712601414105347,0.9330420050621032,94.8,99.77
267,2.240057965857424,0.7620840282440186,95.23,99.84
268,2.2208519971019633,0.6396454843521118,95.62,99.85
269,2.2198004281475052,0.7045384326934815,95.35,99.78
270,2.240120373828463,0.7686409627914429,95.24,99.78
271,2.2466515018753754,0.7237617031097412,95.4,99.81
272,2.2316417658985346,0.7787791417121888,95.22,99.74
273,2.221536359469503,0.7337457852363587,95.4,99.79
274,2.2300711888509888,0.6278133946418762,95.26,99.74
275,2.196295292978861,0.7282994458198547,95.31,99.81
276,2.1639875283467176,0.7580449090003968,95.4,99.78
277,2.2511271154376824,0.773114135169983,95.02,99.76
278,2.211761890239203,0.6913161448478699,95.68,99.81
279,2.2405822928827948,0.7661575160980224,95.43,99.78
280,2.2446386179148616,0.695457160615921,95.35,99.79
281,2.1965613357541502,0.6886042122840881,95.61,99.75
282,2.1560853452597017,0.7590947422981262,95.56,99.8
283,2.2082531163695527,0.5984159454345703,95.71,99.78
284,2.1992244163334904,0.7308665901184082,95.46,99.75
285,2.198154218370875,0.6882641060352326,95.48,99.84
286,2.1775709376902954,0.7186048690795899,95.58,99.8
287,2.158346267882138,0.7725871877670288,95.35,99.72
288,2.2021251596348232,0.8127256875991822,95.68,99.83
289,2.1980954675759916,0.7169110560417176,95.52,99.77
290,2.192070457144675,0.8467254279136658,95.7,99.73
291,2.2029115443956226,0.8348512833595276,95.51,99.78
292,2.19828395013162,0.690173209476471,95.5,99.87
293,2.1959841236109616,0.7405155773162841,95.76,99.79
294,2.1795481246503763,0.7749044515609741,95.78,99.7
295,2.163525142987162,0.79216362657547,95.73,99.79
296,2.194366088597326,0.7303196495056152,95.88,99.79
297,2.1886950088676813,0.5900610138893128,95.75,99.82
298,2.2148755137044245,0.7559767960548401,95.86,99.8
299,2.1695432669069334,0.6720656479835511,95.94,99.82
300,2.1511631382870156,0.6528523615837097,95.87,99.87
301,2.1780170582320717,0.8046300881385803,95.96,99.8
302,2.1910507593509023,0.693279785823822,95.63,99.77
303,2.1393551835635254,0.831613820552826,95.82,99.79
304,2.2167043551592758,0.6796130736351014,95.67,99.77
305,2.198299050178479,0.7425408595085145,95.7,99.84
306,2.1280490417944486,0.6968273832321167,95.78,99.85
307,2.1640345198549475,0.6989515726089478,95.93,99.82
308,2.1451939297088742,0.697294792842865,95.89,99.88
309,2.1547077807207877,0.6840448210716248,95.84,99.79
310,2.1224443044003083,0.7049794136047364,95.86,99.76
311,2.1795620442047317,0.7172337332725525,95.85,99.77
312,2.075288169667907,0.7390208033561707,96.11,99.82
313,2.1435056851554313,0.6935671187400818,95.99,99.8
314,2.1960243241582424,0.6713722513198852,96.02,99.8
315,2.1766358388065528,0.7235148942947388,95.74,99.8
316,2.1120377032613327,0.5684012454986572,95.93,99.8
317,2.170545766204023,0.6975553474426269,95.9,99.81
318,2.159370785486072,0.752349812412262,95.99,99.77
319,2.1277124581050018,0.8788937362670899,95.7,99.77
320,2.1501054012821212,0.5826389977455139,96.08,99.84
321,2.1571719579293696,0.7745974939346314,96.04,99.77
322,2.1843812793836705,0.7954793884277344,96.02,99.79
323,2.2096862074049732,0.6836311512947083,96.2,99.84
324,2.083793668221878,0.7123491903305054,95.91,99.84
325,2.1246850195981173,0.7793638203620911,96.1,99.83
326,2.1503470404963183,0.5865060539245606,96.32,99.79
327,2.1290354496690895,0.6731527286529541,96.19,99.79
328,2.1461473199683176,0.7729727716445923,96.22,99.74
329,2.1271922310549534,0.6474663621902466,96.16,99.82
330,2.143327014546999,0.6844757869720459,96.1,99.69
331,2.1458349037109357,0.6729578419685364,96.22,99.82
332,2.117469089437233,0.6656087062835694,96.07,99.75
333,2.155291827784305,0.7160671921730042,95.88,99.8
334,2.151778907232492,0.6931280473709106,96.23,99.77
335,2.145345162490571,0.6845251985549927,96.09,99.81
336,2.1622541945966653,0.6301064348220825,96.1,99.86
337,2.1378369227566885,0.7222579023361206,96.24,99.77
338,2.1264451792542363,0.7845419463157653,96.06,99.81
339,2.1202846205341372,0.718514357662201,96.12,99.86
340,2.1017059241916396,0.7917963449478149,96.05,99.83
341,2.1342099051774692,0.669790871143341,96.31,99.84
342,2.1263038095530415,0.5467843708992004,96.17,99.86
343,2.1419865788937225,0.597694516134262,96.22,99.82
344,2.1233783139156777,0.6742489901542663,96.27,99.75
345,2.160610852565106,0.7540838891983033,96.33,99.82
346,2.1097070097770643,0.7468988850593566,96.2,99.74
347,2.1100641968308276,0.6188336330413818,96.34,99.79
348,2.109314319266247,0.7987529292106629,96.26,99.81
349,2.1070353479605175,0.7334157612800598,96.49,99.75
350,2.0853902266364397,0.6613366675376892,96.41,99.77
351,2.1068394379487567,0.6740634008407593,96.24,99.72
352,2.095666169204419,0.6692058822631836,96.46,99.83
353,2.0590334971949327,0.7486920200347901,96.29,99.82
354,2.087334009047202,0.6081524231910705,96.4,99.82
355,2.1324294523148777,0.6088079575538635,96.29,99.77
356,2.095923424835547,0.646993787765503,96.52,99.83
357,2.0773248074149353,0.8128741760253906,96.35,99.78
358,2.1024896544469915,0.74224501247406,96.47,99.77
359,2.1088841646795236,0.6681491291046142,96.29,99.81
360,2.094870985393793,0.8375989102363587,96.2,99.82
361,2.04478822612274,0.6927819796562195,96.41,99.8
362,2.096235104468049,0.7935511196136474,96.3,99.76
363,2.109304049866758,0.8155258909225463,96.21,99.73
364,2.0842201909701434,0.6681200574874878,96.47,99.8
365,2.0709359772531997,0.683473310136795,96.39,99.79
366,2.0628591369880453,0.8408958188056945,96.03,99.79
367,2.052719883057891,0.6099690287590027,96.24,99.74
368,2.097272448136773,0.8582205285072326,96.15,99.75
369,2.0929271170485495,0.7847533331871033,96.27,99.79
370,2.1251466274261475,0.7267235927581787,96.33,99.82
371,2.087408745182003,0.6732193784713745,96.29,99.76
372,2.1047811396753895,0.6142042178630829,96.4,99.74
373,2.103806535962602,0.6209277242183685,96.53,99.8
374,2.0982961361600556,0.6975975405693055,96.49,99.81
375,2.093552791660177,0.7805539838790894,96.43,99.76
376,2.1183220645682304,0.7162461928367615,96.51,99.8
377,2.0639450849247347,0.526760733795166,96.37,99.82
378,2.1197514912535684,0.7645161547660828,96.36,99.74
379,2.0814974529337182,0.6717272545814514,96.31,99.85
380,2.101426573782663,0.7024475588798523,96.46,99.8
381,2.0622143032608813,0.5798787457466126,96.26,99.79
382,2.097312985248053,0.649502910041809,96.59,99.81
383,2.0683957921405454,0.6693482126235962,96.45,99.79
384,2.0844649654955014,0.7744413906097413,96.48,99.85
385,2.1025074370844568,0.5982423577308654,96.53,99.82
386,2.0318305648090593,0.7497500660896301,96.47,99.8
387,2.122283949894728,0.7817899391174317,96.44,99.81
388,2.0980979216388795,0.7393995444297791,96.47,99.77
389,2.1353501592799735,0.7839117538452148,96.53,99.82
390,2.083693036043995,0.6825585138320923,96.57,99.8
391,2.0815724106970577,0.6355837477684021,96.46,99.79
392,2.0891374868559014,0.783594508934021,96.36,99.83
393,2.150977344274826,0.8092434049606323,96.25,99.78
394,2.0667132513165933,0.6438479445457459,96.43,99.8
395,2.069487750301288,0.715595339012146,96.47,99.86
396,2.0988403775475244,0.6970152068138122,96.48,99.75
397,2.107894086959878,0.8310179325103759,96.72,99.78
398,2.0722942706412146,0.538977361869812,96.67,99.82
399,2.107394957511892,0.746186291885376,96.48,99.81
400,2.0158117751611178,0.6522476229190827,96.47,99.83
401,2.126417029377135,0.7254101921081543,96.5,99.79
402,2.140488796441717,0.6800545997619629,96.43,99.8
403,2.0865719867882135,0.6736760453224182,96.57,99.76
404,2.0680759745279134,0.6879237524986267,96.37,99.72
405,2.078590031164709,0.7673821374893188,96.46,99.73
406,2.1020909364641707,0.6022885571956634,96.51,99.83
407,2.0954143031763817,0.7398896325111389,96.41,99.78
408,2.107326879391444,0.5826378699302673,96.56,99.83
409,2.0740583780938318,0.8056814999580383,96.61,99.8
